idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
"cmp edx, eax  | * | mov edi, dword_4043C8[edi] ",msvc,1
"jge short loc_40149C  | * | lea eax, [edx-2] ",msvc,1
"mov edi, dword_4043C8[edi]  | * | mov esi, edx ",msvc,1
"lea eax, [edx-2]  | * | mov [esp+30h+var_8], edi ",msvc,1
"mov esi, edx  | * | sub esi, eax ",msvc,1
"mov [esp+30h+var_8], edi  | * | jmp short loc_401444 ",msvc,1
"sub esi, eax  | * | jmp short loc_401440 ",msvc,1
jmp short loc_401444  | * | align 10h ,msvc,1
jmp short loc_401440  | * | loc_401440:  ,msvc,1
"align 10h  | * | mov edi, [esp+30h+var_8] ",msvc,1
loc_401440:   | * | loc_401444:  ,msvc,1
"mov edi, [esp+30h+var_8]  | * | mov eax, dword_4043C8[ecx*4] ",msvc,1
"loc_401444:   | * | add edx, 0FFFFFFFEh ",msvc,1
"mov eax, dword_4043C8[ecx*4]  | * | sub ebx, edx ",msvc,1
"add edx, 0FFFFFFFEh  | * | sub eax, edi ",msvc,1
"sub ebx, edx  | * | imul ebx ",msvc,1
"sub eax, edi  | * | mov [esp+30h+var_4], edx ",msvc,1
"imul ebx  | * | mov edx, [esp+30h+var_20] ",msvc,1
"mov [esp+30h+var_4], edx  | * | mov ebx, eax ",msvc,1
"mov edx, [esp+30h+var_20]  | * | mov eax, dword_4043C8[edx*4] ",msvc,1
"mov ebx, eax  | * | sub eax, edi ",msvc,1
"mov eax, dword_4043C8[edx*4]  | * | imul esi ",msvc,1
"sub eax, edi  | * | sub eax, ebx ",msvc,1
"imul esi  | * | sbb edx, [esp+30h+var_4] ",msvc,1
"sub eax, ebx  | * | test edx, edx ",msvc,1
"sbb edx, [esp+30h+var_4]  | * | jg short loc_401481 ",msvc,1
"test edx, edx  | * | jl short loc_401479 ",msvc,1
"jg short loc_401481  | * | test eax, eax ",msvc,1
jl short loc_401479  | * | jnb short loc_401481 ,msvc,1
"test eax, eax  | * | loc_401479:  ",msvc,1
"jnb short loc_401481  | * | mov ebx, ecx ",msvc,1
"loc_401479:   | * | mov [esp+30h+var_20], ebx ",msvc,1
"mov ebx, ecx  | * | jmp short loc_401485 ",msvc,1
"mov [esp+30h+var_20], ebx  | * | loc_401481:  ",msvc,1
"jmp short loc_401485  | * | mov ebx, [esp+30h+var_20] ",msvc,1
loc_401481:   | * | loc_401485:  ,msvc,1
"mov ebx, [esp+30h+var_20]  | * | mov eax, dword_406308 ",msvc,1
"loc_401485:   | * | mov edx, [esp+30h+var_14] ",msvc,1
"mov eax, dword_406308  | * | inc ecx ",msvc,1
"mov edx, [esp+30h+var_14]  | * | inc esi ",msvc,1
inc esi  | * | jl short loc_401440 ,msvc,1
"cmp ecx, eax  | * | mov esi, [esp+30h+var_18] ",msvc,1
"jl short loc_401440  | * | mov edi, [esp+30h+var_10] ",msvc,1
"mov esi, [esp+30h+var_18]  | * | loc_40149C:  ",msvc,1
"mov edi, [esp+30h+var_10]  | * | cmp dword_406310[edi], ebx ",msvc,1
