idiom,label,count
"call _intel_fast_memset  | * | mov eax, ebx ",icc,1
"mov r10d, cs:m  | * | cmp r10d, 1 ",icc,1
"mov eax, ebx  | * | jle loc_4014E7 ",icc,1
"cmp r10d, 1  | * | mov r13d, r12d ",icc,1
jle loc_4014E7  | * | loc_40143C:  ,icc,1
"mov r13d, r12d  | * | movsxd rax, eax ",icc,1
"loc_40143C:   | * | xor r11d, r11d ",icc,1
"movsxd rax, eax  | * | lea rax, [rax+rax*2] ",icc,1
"xor r11d, r11d  | * | mov rdx, ds:qword_60D468[rax*8] ",icc,1
"lea rax, [rax+rax*2]  | * | mov rsi, rdx ",icc,1
"mov rdx, ds:qword_60D468[rax*8]  | * | sub rsi, ds:v[rax*8] ",icc,1
"mov rsi, rdx  | * | shr rsi, 2 ",icc,1
"sub rsi, ds:v[rax*8]  | * | test esi, esi ",icc,1
"shr rsi, 2  | * | jle short loc_4014D3 ",icc,1
"test esi, esi  | * | mov r9, ds:qword_60D480[rax*8] ",icc,1
"jle short loc_4014D3  | * | mov r14, r9 ",icc,1
"mov r9, ds:qword_60D480[rax*8]  | * | mov rdi, ds:qword_60D478[rax*8] ",icc,1
"mov r14, r9  | * | sub r14, rdi ",icc,1
"mov rdi, ds:qword_60D478[rax*8]  | * | shr r14, 2 ",icc,1
"sub r14, rdi  | * | mov rsi, ds:v[rax*8] ",icc,1
"shr r14, 2  | * | loc_401483:  ",icc,1
"mov rsi, ds:v[rax*8]  | * | xor eax, eax ",icc,1
"loc_401483:   | * | test r14d, r14d ",icc,1
"xor eax, eax  | * | jle short loc_4014BE ",icc,1
"test r14d, r14d  | * | loc_40148A:  ",icc,1
"jle short loc_4014BE  | * | movsxd r15, dword ptr [rsi+r11*4] ",icc,1
"loc_40148A:   | * | mov r14, r15 ",icc,1
"movsxd r15, dword ptr [rsi+r11*4]  | * | shl r14, 7 ",icc,1
"mov r14, r15  | * | lea r14, [r14+r15*8] ",icc,1
"shl r14, 7  | * | movsxd r15, dword ptr [rdi+rax*4] ",icc,1
"lea r14, [r14+r15*8]  | * | inc rax ",icc,1
"movsxd r15, dword ptr [rdi+rax*4]  | * | mov dword ptr ds:g[r14+r15*4], 1 ",icc,1
"inc rax  | * | mov r14, r9 ",icc,1
"mov dword ptr ds:g[r14+r15*4], 1  | * | sub r14, rdi ",icc,1
"mov r14, r9  | * | shr r14, 2 ",icc,1
"sub r14, rdi  | * | movsxd r15, r14d ",icc,1
"shr r14, 2  | * | cmp rax, r15 ",icc,1
"movsxd r15, r14d  | * | jl short loc_40148A ",icc,1
"cmp rax, r15  | * | loc_4014BE:  ",icc,1
"jl short loc_40148A  | * | mov rax, rdx ",icc,1
loc_4014BE:   | * | inc r11 ,icc,1
"mov rax, rdx  | * | sub rax, rsi ",icc,1
"inc r11  | * | shr rax, 2 ",icc,1
"sub rax, rsi  | * | movsxd r15, eax ",icc,1
"shr rax, 2  | * | cmp r11, r15 ",icc,1
"movsxd r15, eax  | * | jl short loc_401483 ",icc,1
"cmp r11, r15  | * | loc_4014D3:  ",icc,1
jl short loc_401483  | * | nop dword ptr [rax+rax+00h] ,icc,1
"loc_4014D3:   | * | mov eax, r13d ",icc,1
nop dword ptr [rax+rax+00h]  | * | inc r13d ,icc,1
"mov eax, r13d  | * | cmp r10d, r13d ",icc,1
inc r13d  | * | jg loc_40143C ,icc,1
"cmp r10d, r13d  | * | loc_4014E7:  ",icc,1
"jg loc_40143C  | * | xor edx, edx ",icc,1
"loc_4014E7:   | * | xor eax, eax ",icc,1
"xor edx, edx  | * | pxor xmm1, xmm1 ",icc,1
"xor eax, eax  | * | pcmpeqd xmm2, xmm2 ",icc,1
"pxor xmm1, xmm1  | * | loc_4014F3:  ",icc,1
"pcmpeqd xmm2, xmm2  | * | movd xmm0, ds:c1[rdx*4] ",icc,1
"loc_4014F3:   | * | xor edi, edi ",icc,1
"movd xmm0, ds:c1[rdx*4]  | * | mov rsi, rax ",icc,1
"xor edi, edi  | * | loc_401501:  ",icc,1
