idiom,label,count
__Z4readv proc near   | * | push rbp ,xcode,1
"mov rsi, cs:__ZNSt3__15ctypeIcE2idE_ptr  | * | call __ZNKSt3__16locale9use_facetERNS0_2idE  ",xcode,1
"mov rdi, rax  | * | mov [rbp+var_60], rax ",xcode,1
call __ZNKSt3__16locale9use_facetERNS0_2idE   | * | jmp $+5 ,xcode,1
"mov [rbp+var_60], rax  | * | loc_100000BFC:  ",xcode,1
"jmp $+5  | * | mov al, [rbp+var_21] ",xcode,1
"loc_100000BFC:   | * | mov rcx, [rbp+var_60] ",xcode,1
"mov al, [rbp+var_21]  | * | mov [rbp+var_8], rcx ",xcode,1
"mov rcx, [rbp+var_60]  | * | mov [rbp+var_9], al ",xcode,1
"mov [rbp+var_8], rcx  | * | mov rdx, [rbp+var_8] ",xcode,1
"mov [rbp+var_9], al  | * | mov rsi, [rdx] ",xcode,1
"mov rdx, [rbp+var_8]  | * | mov rsi, [rsi+38h] ",xcode,1
"mov rsi, [rdx]  | * | movsx edi, [rbp+var_9] ",xcode,1
"mov rsi, [rsi+38h]  | * | mov [rbp+var_64], edi ",xcode,1
"movsx edi, [rbp+var_9]  | * | mov rdi, rdx ",xcode,1
"mov [rbp+var_64], edi  | * | mov r8d, [rbp+var_64] ",xcode,1
"mov rdi, rdx  | * | mov [rbp+var_70], rsi ",xcode,1
"mov r8d, [rbp+var_64]  | * | mov esi, r8d ",xcode,1
"mov [rbp+var_70], rsi  | * | mov rdx, [rbp+var_70] ",xcode,1
"mov esi, r8d  | * | call rdx ",xcode,1
"mov rdx, [rbp+var_70]  | * | mov [rbp+var_71], al ",xcode,1
call rdx  | * | jmp loc_100000C65 ,xcode,1
"mov [rbp+var_71], al  | * | mov ecx, edx ",xcode,1
"jmp loc_100000C65  | * | mov [rbp+var_38], rax ",xcode,1
"mov ecx, edx  | * | mov [rbp+var_3C], ecx ",xcode,1
"mov [rbp+var_38], rax  | * | lea rdi, [rbp+var_30]  ",xcode,1
"mov [rbp+var_3C], ecx  | * | call __ZNSt3__16localeD1Ev  ",xcode,1
"lea rdi, [rbp+var_30]   | * | jmp $+5 ",xcode,1
call __ZNSt3__16localeD1Ev   | * | loc_100000C4F:  ,xcode,1
"jmp $+5  | * | mov rdi, [rbp+var_38] ",xcode,1
loc_100000C4F:   | * | call __Unwind_Resume ,xcode,1
"mov rdi, [rbp+var_38]  | * | mov ecx, edx ",xcode,1
"call __Unwind_Resume  | * | mov rdi, rax ",xcode,1
"mov ecx, edx  | * | mov [rbp+var_78], ecx ",xcode,1
"mov rdi, rax  | * | call ___clang_call_terminate ",xcode,1
"mov [rbp+var_78], ecx  | * | loc_100000C65:  ",xcode,1
"call ___clang_call_terminate  | * | lea rdi, [rbp+var_30]  ",xcode,1
loc_100000C65:   | * | call __ZNSt3__16localeD1Ev  ,xcode,1
"lea rdi, [rbp+var_30]   | * | mov rdi, [rbp+var_50] ",xcode,1
"call __ZNSt3__16localeD1Ev   | * | mov al, [rbp+var_71] ",xcode,1
"mov rdi, [rbp+var_50]  | * | movsx esi, al ",xcode,1
"mov al, [rbp+var_71]  | * | call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE3putEc  ",xcode,1
"movsx esi, al  | * | mov rdi, [rbp+var_48] ",xcode,1
"call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE3putEc   | * | mov [rbp+var_80], rax ",xcode,1
"mov rdi, [rbp+var_48]  | * | call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE5flushEv  ",xcode,1
"mov [rbp+var_80], rax  | * | mov rdi, [rbp+var_48] ",xcode,1
"call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE5flushEv   | * | mov [rbp+var_88], rax ",xcode,1
"mov rdi, [rbp+var_48]  | * | mov rax, rdi ",xcode,1
