idiom,label,count
var_100 = qword ptr -100h  | * | var_F0 = qword ptr -0F0h ,data,2
var_F4 = dword ptr -0F4h  | * | var_E8 = byte ptr -0E8h ,data,1
var_F0 = qword ptr -0F0h  | * | var_D1 = byte ptr -0D1h ,data,1
var_E8 = byte ptr -0E8h  | * | var_D0 = qword ptr -0D0h ,data,1
var_D1 = byte ptr -0D1h  | * | var_C8 = qword ptr -0C8h ,data,1
var_D0 = qword ptr -0D0h  | * | var_C0 = qword ptr -0C0h ,data,3
var_C8 = qword ptr -0C8h  | * | var_B8 = qword ptr -0B8h ,data,3
var_C0 = qword ptr -0C0h  | * | var_A0 = qword ptr -0A0h ,data,2
var_B8 = qword ptr -0B8h  | * | var_98 = qword ptr -98h ,data,2
var_A0 = qword ptr -0A0h  | * | var_90 = qword ptr -90h ,data,3
var_98 = qword ptr -98h  | * | var_88 = qword ptr -88h ,data,3
var_90 = qword ptr -90h  | * | var_7C = dword ptr -7Ch ,data,2
var_88 = qword ptr -88h  | * | var_78 = qword ptr -78h ,data,3
var_7C = dword ptr -7Ch  | * | var_6C = dword ptr -6Ch ,data,2
var_78 = qword ptr -78h  | * | var_68 = qword ptr -68h ,data,3
var_6C = dword ptr -6Ch  | * | var_60 = qword ptr -60h ,data,2
var_60 = qword ptr -60h  | * | var_50 = qword ptr -50h ,data,4
var_58 = qword ptr -58h  | * | var_44 = dword ptr -44h ,data,2
var_50 = qword ptr -50h  | * | var_40 = qword ptr -40h ,data,2
var_44 = dword ptr -44h  | * | var_38 = byte ptr -38h ,data,2
var_40 = qword ptr -40h  | * | var_29 = byte ptr -29h ,data,2
var_38 = byte ptr -38h  | * | var_28 = qword ptr -28h ,data,2
var_29 = byte ptr -29h  | * | var_20 = qword ptr -20h ,data,2
var_28 = qword ptr -28h  | * | var_11 = byte ptr -11h ,data,2
var_11 = byte ptr -11h  | * | var_8 = dword ptr -8 ,data,2
"push rbp  | * | sub rsp, 190h ",xcode,1
"mov rbp, rsp  | * | mov al, sil ",xcode,1
"sub rsp, 190h  | * | mov [rbp+var_D0], rdi ",xcode,1
"mov al, sil  | * | mov [rbp+var_D1], al ",xcode,1
"mov [rbp+var_D0], rdi  | * | mov rsi, [rbp+var_D0] ",xcode,1
"mov [rbp+var_D1], al  | * | lea rdi, [rbp+var_E8] ",xcode,1
"mov rsi, [rbp+var_D0]  | * | call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE6sentryC1ERS3_  ",xcode,1
"lea rdi, [rbp+var_E8]  | * | jmp $+5 ",xcode,2
call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE6sentryC1ERS3_   | * | loc_100000B03:  ,xcode,1
"jmp $+5  | * | lea rax, [rbp+var_E8] ",xcode,1
"loc_100000B03:   | * | mov [rbp+var_C8], rax ",xcode,1
"lea rax, [rbp+var_E8]  | * | mov rax, [rbp+var_C8] ",xcode,1
"mov [rbp+var_C8], rax  | * | mov cl, [rax] ",xcode,1
"mov rax, [rbp+var_C8]  | * | mov [rbp+var_109], cl ",xcode,1
"mov cl, [rax]  | * | mov al, [rbp+var_109] ",xcode,1
"mov [rbp+var_109], cl  | * | test al, 1 ",xcode,1
"mov al, [rbp+var_109]  | * | jnz loc_100000B33 ",xcode,1
"test al, 1  | * | jmp loc_100000E99 ",xcode,1
jnz loc_100000B33  | * | loc_100000B33:  ,xcode,1
"jmp loc_100000E99  | * | lea rax, [rbp+var_100] ",xcode,1
"loc_100000B33:   | * | mov rcx, [rbp+var_D0] ",xcode,1
"lea rax, [rbp+var_100]  | * | mov [rbp+var_B8], rax ",xcode,1
"mov rcx, [rbp+var_D0]  | * | mov [rbp+var_C0], rcx ",xcode,1
"mov [rbp+var_B8], rax  | * | mov rax, [rbp+var_B8] ",xcode,2
"mov [rbp+var_C0], rcx  | * | mov rcx, [rbp+var_C0] ",xcode,1
"mov rax, [rbp+var_B8]  | * | mov [rbp+var_98], rax ",xcode,2
"mov rcx, [rbp+var_C0]  | * | mov [rbp+var_A0], rcx ",xcode,1
"mov [rbp+var_98], rax  | * | mov rax, [rbp+var_98] ",xcode,2
"mov [rbp+var_A0], rcx  | * | mov rcx, [rbp+var_A0] ",xcode,1
"mov rax, [rbp+var_98]  | * | mov rdx, [rcx] ",xcode,1
"mov rcx, [rbp+var_A0]  | * | mov rdx, [rdx-18h] ",xcode,1
"mov rdx, [rcx]  | * | add rcx, rdx ",xcode,1
